insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (1, 'Renee', 'Arnell', '2006-07-07');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (2, 'Aloise', 'Bishopp', '2006-03-26');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (3, 'Iormina', 'Kix', '2001-04-07');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (4, 'Hildegaard', 'Wolfarth', '2012-01-26');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (5, 'Gregoor', 'Fidilis', '2000-08-20');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (6, 'Lilia', 'Hargerie', '2006-02-14');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (7, 'Meg', 'Gurys', '2003-07-24');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (8, 'Leontine', 'Climo', '2010-10-31');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (9, 'Gianni', 'Einchcombe', '2011-03-05');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (10, 'Candie', 'Frascone', '2000-06-19');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (11, 'Ella', 'Sharma', '1999-12-11');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (12, 'Brocky', 'Reside', '1999-06-27');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (13, 'Robbert', 'McGavin', '1998-01-27');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (14, 'Bunni', 'Cusiter', '2005-05-21');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (15, 'Marcelo', 'Deniscke', '2001-11-01');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (16, 'Marley', 'Clash', '2005-01-07');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (17, 'Erich', 'Norquoy', '2007-02-23');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (18, 'Roselle', 'Tremain', '2008-05-15');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (19, 'Ruttger', 'Nisius', '2005-09-25');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (20, 'Eleanora', 'Search', '2000-02-17');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (21, 'Bevvy', 'Eastham', '2011-06-03');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (22, 'Catherine', 'Ruggles', '2006-03-16');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (23, 'Vernice', 'Manston', '2006-08-25');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (24, 'Caty', 'Grinston', '1999-03-07');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (25, 'Ellwood', 'Pochin', '2003-05-31');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (26, 'Lulita', 'Medley', '2012-09-10');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (27, 'Aurthur', 'Faers', '2011-04-13');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (28, 'Emmy', 'Pattini', '2006-07-12');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (29, 'Garrek', 'Caven', '2006-10-16');
insert into Alumnado (idAlumnado, Nombre, Apellidos, FechaNacimiento) values (30, 'Darnall', 'Dawbery', '2011-11-30');
